A,B,C,D
Bénabar,Reprise Des Négociations,Tu Peux Compter Sur Moi,2005
Beyoncé,Dangerously In Love,Be With You,2003
Solomon,Solomon Vol. 2,25 Variations And Fugue On A Theme By G.F. Handel For Piano_ Op. 24: Aria,0
Eurythmics,Revenge,Missionary Man,1986
Curtis,Superstar Dog,Superstar Dog,1999
Maurice Larcange,Maurice Larcange Au Zenith,La feria de San Cristobal (Live),0
2Fresh,2Fresh - Get It Started,Get It Started,0
Bad Brains,Rock For Light,Riot Squad (1991 Digital Remaster),1983
The Dee Jays,The Dee Jays / Baby Talk - Best of,In The Midnight Hour,0
Corona,The Rhythm Of The Night,I Gotta Keep Dancing,0
Lifer,Lifer,Boring,2001
The White Stripes,Icky Thump,Im Slowly Turning Into You,2007
New Roanoke Jug Band,A Pretty Gal's Love,Cold Icy Floor,0
Ndala Kasheba,African Grooves Vol.26,Marashi Ya Pemba,0
Diamond D,Diamond,Intro,1997
Lyrics Born,Later That Day...,Bad Dreams,2003
Joe McBride,Lookin' For A Change,This Is How A Heart Breaks,0
Tulipunaruusut,20 Suosikkia / Karjalan Marjaana,Ilta Oulunjoella,0
Hot Club Of Detroit,Smooth Jazz Journey - Third Edition,Night Time,0
David Hudson,Wangetti,Monkey & Turtle,0
Funeral For A Friend,Tales Don't Tell Themselves,Crash And Burn [Home Demo],2007
Greater Vision,My Favorite Place,Heaven's Hero (Featuring Champion Of Love),0
Babe Ruth,Babe Ruth,Dancer (2007 Digital Remaster),1975
Headliners,Sag Ihnen Bescheid,Sag Ihnen Bescheid,2005
George Michael,Ladies And Gentlemen... The Best Of George Michael,Praying For Time,1990
Rancid,Life Won't Wait,Black Lung (Album Version),0
The Stranglers,La Folie,It Only Takes Two To Tango,1981
The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan,The Essential Stevie Ray Vaughan And Double Trouble,Telephone Song,1990
Lady Saw,Lover Girl,Bare As You Dare,1994
Ronnie Milsap,Live,Don't You Know How Much I Love You,1983
Fruko Y Sus Tesos,Descarga Espectacular,El Ausente/ El Preso/ El Caminante/ Tania,0
Guns N' Roses,Use Your Illusion II,Locomotive (Complicity),1991
Emperor,Live At Wacken Open Air 2006 - A Night Of Emperial Wrath,With Strength I Burn,0
Charlie Haden & Chris Anderson,None But The Lonely Heart,Alone Together,0
Goldfinger,Stomping Ground,I'm Down,0
Rokia Traoré,Wanita,Château de sable,2000
Joe Satriani,Time Machine,Echo,1987
David Evans,Match Box Blues,Prison Bound Blues,0
Brand X,X Communication : Trilogy II,Zero Db (drum solo by Frank Katz),0
Faiz Ali Faiz,Lagian Ne Maujan,Lagian ne maujan,0
Restless Heart,Greatest Hits,That Rock Won't Roll,1986
Uriah Heep,Wake The Sleeper,Wake The Sleeper,2008
The Stooges,The Stooges [Deluxe Edition],Not Right (Remastered LP Version),0
Speaker,Trace My Track,Joking,1999
Will Pan,Play Cool,Shuo Ni Ai Wo,0
Michael Gettel,San Juan Suite/San Juan Suite II: Narada Classics,Safe Passage,1996
Christos Kedras,Poolside : Mykonos,Water Blazz (Chill House mix),0
Paso Doble,Fantasie [Deluxe Edition],Fantasie (Extended Version),0
Gold City,Home For The Holidays,What Child Is This?,0
Quinteto Violado,Visão Futurística Do Passado,Olha Pro Ceu,0
Mago de Oz,Gaia II,Desde mi cielo,2005
Joe McBride,Texas Hold'em,One Eyed Jack,2005
Stress Assassin,Carrier Track,EU A4,2003
Dead To Me,Cuban Ballerina,Don't Lie,2006
Juan Carlos Baglietto,Modelo Para Armar,Salzanitos,0
Abracadabra,En las cosas del amor...,Te estoy saboreando,0
Darryl Worley,We Are Enterprise: The Album to Benefit The Rebuilding of Enterprise High School,Katie's Song,0
Sugarbomb,Bully,Gone,2001
Bounty Killer,Strictly The Best Vol. 15,Ask Fi War,0
Margaret Becker,The Reckoning,Start The Fire,1989
Paloalto,Heroes And Villains,Seed,0
Mykill Miers,The Trials Of Job,Get Money,0
Orchids,Chicago R&B [Parrot R&B],You Said You Loved Me,0
Kool Savas,Die besten Tage sind gezählt,Warum rappst du?,2000
Ministère des Affaires Populaires,Debout là d'dans,Bagdad by night,0
Margaret Becker,Immigrant's Daughter,Stay Close To Me,0
Estrellas Cubanas,La Habana Tiene...,Fin De Semana,0
Alain Turban,Mes Années Disco,Santa Monica (Version Originale 1980),0
Orbital,Halcyon - The Platinum Collection,Chime (edit),1990
Dolly Parton,The Dolly Parton Classics,I'm Not Worth the Tears,1967
April Wine,Harder Faster,Say Hello,1979
Orbital,Snivilisation,Are We Here ?,1994
2 Minutos,Un Mundo De Sensaciones,Rompan Todo,2006
Bongzilla,Amerijuanican,Cutdown,2005
Damita Jo,The Fabulous Mae West And Other Wonderful Girls,Face To Face,0
Jarvis Church,The Long Way Home,So Beautiful,0
Máire Brennan,Maire,Atlantic Shore,0
Dictators,Viva Dictators,Weekend,0
Oasis,Kuschelrock 19,Don't Go Away,0
Fat Joe,All Or Nothing,Get It Poppin' [Featuring Nelly]  (Album Version - Exp. Version) [Serban Main 4/20/05],2005
The Bucketheads,All In The Mind,Little Louie Bonus,1995
Whitesnake,Best Of Whitesnake,Love Ain't No Stranger (2003 Digital Remaster),2003
The Cardigans,Gran Turismo,Paralyzed,1998
Twista,The Day After,The Day After (featuring Syleena Johnson) (Explicit Chopped & Screwed Version),2005
The Chap,Lo Compilation Mix By Susumu Yokota,We Are Not Impartial,2006
Al Denson,Al Denson,Love Is Taking Hold,0
Fabolous,Ghetto Fabolous [Explicit Version],Ma' Be Easy [Explicit Version],0
The Accursed,Seasons Of The Scythe,Slaughter The Gods,0
Astarte,Quod Superius Sicut Inferius,Oblivious Darkness,2002
Floor,Riddim Of Silence,Heather,2009
Sergio Franchi,The Heart Of Christmas,Silent Night,1987
Trafik,Club Trafikana,Smoke,0
Mongo Santamaria,Afro-Indio,Lady Marmalade,1975
Eddy Raven,LIVE IN CONCERT,I WANNA HEAR IT FROM YOU,1995
Michelle & Vickie,Aitai,Party For Pink,0
Sulk,Hi-Bias: Club Life 3,Only You (Chimi-Changa Club Mix),0
Ben E. King,Soul Friends,Let It Be Me,0
Geiom Ft. Marita,Sugar Coated Lover,Sugar Coated Lover,0
Orbit,Tonedeaf,Nice Ride,0
Bob Dylan,Desire/Blood On The Tracks/Street Legal,New Pony,1978
Cali,Le Bruit De Ma Vie,Pour Jane (Live Acoustique),0
Line Renaud,Les Années Chansons,Gwendolina,1994
F.l.y.,What! What! Volume 1,Shit 3 Outro,0
Orlando Pops Orchestra,World Music Vol. 24: The Sound Of The Caribbean,El Manisero,0
The Police,Message In A Box,Wrapped Around Your Finger,1983
Edith Lefel,Mèci,L'a fête komine,1992
Lonnie Johnson,Blues Masters Vol. 4,Raining On The Cold_ Cold Ground,0
Rhian Sheehan,Tiny Blue Biosphere,Degrees of Freedom,2002
Edwin Hawkins,Oh Happy Day,I'm Going Through,0
The London Pops Orchestra,Award-Winning Movie Themes : The 70's,The Way We Were,0
Cumberland Quartet,Golden Gospel Favorites,One Day At A Time,0
Mest,Photographs,Tonight Will Last Forever (Album Version),2005
Los Iracundos,Discografia Completa Vol.5,Deja El Ultimo Baile Para Mi (Lascia L'Ultimo Ballo Per Me),0
David Saylor,We Are One,This Time,0
The Sun Harbor's Chorus-Documentary Recordings,Songs of the US Armed Forces,US Air Force,0
Roy Brown,Long 'Bout Midnight,Love Don't Love Nobody,0
Five Blind Boys of Alabama,101 Great Black Gospel_ Vol. 4,I've Got a Home,2008
Shania Twain,The Woman In Me,Raining On Our Love,1995
Since The Flood,No Compromise,All For Nothing,2007
Blind Willie McTell,Blind Willie McTell -Statesboro Blues - The Early Years 1927-1935,Writing Paper Blues,1927
Yank Rachell,Legendary Country Blues Artists - CD C,My Mind Got Bad,0
U2,No Line On The Horizon,FEZ-Being Born,2009
Hushabye Baby,Hushabye Baby : Lullaby Renditions of Country Music Favorites Volume 1,So Small (Lullaby Rendition of Carrie Underwood),0
Akon,Freedom,Over The Edge,2008
Les Rythmes Digitales/ Tzant Feat. ODC MC,Mash Up Mix 90s,Jacques Your Body (Make Me Sweat)/ Sounds Of Wickedness (PF Project Def Scratch Mix),0
Ray Conniff,Another Somebody Done Somebody Wrong Song,My Melody Of Love,0
Arco Iris,Chupi Guay - Canciones para jugar  CD 1,Felicidades,0
Jo-El Sonnier,Cajun Tradition,Les Grande Bois,0
Luiz Bonfa,Talkin Latin Vol.13 : Brazil sounds,Olhos Ciganos,0
Storyville,Dog Years,Enough,1998
Larry Graham & Graham Central Station,My Radio Sure Sounds Good To Me,Turn It Out,0
Leo Ku,Steel Box Collection - Leo Ku,Xiao Shuo Xiang,0
Beres Hammond,Have A Nice Weekend,Missing You For A Mile,0
Jah Cure,I'm Free - Single,I'm Free,0
Francis Lai,Love Story,Search For Jenny,1970
Slim Whitman,Tormented,Serenade,0
Carl Smith,Honky Tonk Rockabillies_ Volume 2,Hey Joe,1993
UK Subs,Time Warp:  Greatest Hits,Crash Course,1979
Pursuit Of Happiness,Love Junk,Down On Him,1988
Johnny Pacheco/Rolando La Serie,A Man And His Music,La Palabra Fin,0
James Carter,Gardenias For Lady Day,Strange Fruit,2003
Barley Bree,The Best Of Barley Bree,Flight Of Earls,0
Mithotyn,Gathered Around The Oaken Table,Guided By History,1999
La Mancha De Rolando,Viaje,Melodia Simple,2003
The High Strung,Moxie Bravo,The Luck You Got,2005
Jo Privat,Rendez Vous Au Balajo,Rodriguez Pena,0
Tony Martin,The Great Vocalists,September Song,0
Los Tres Diamantes,Boleros In Trío,Begin The Beguine,0
Marc Perrone,Voyages,Sirène,0
Gloria Lasso,Gloria Lasso Sus 20 Grandes Éxitos (The Best Of Gloria Lasso),Termina La Feria,0
Handsome Boy Modeling School,White People,I've Been Thinking featuring Cat Power (Album Version),2004
Leonardo Favio,Baladas De Amor,Porque Yo Te Amo,0
Pentangle,The Time Has Come 1967-1973,I Saw An Angel,0
Steve Green,Hide Em In Your Heart Vol 1,Even A Child - Proverbs 20:11,0
Delroy Wilson,Sings Studio One Hits,Rain from the Skies Mix 2,0
Julie Zenatti,Plus De Diva,Ma Douleur...,0
Michael Gettel,The Journey North,The Journey North,1999
Michael Landau,Michael Landau Group Live,The Mighty SB,0
DeGarmo & Key,Collecton,Destined To Win,1988
Patrick Bruel,Juste Avant,Au Bout De La Marelle,1999
K-OS,Exit,Heaven Only Knows,2002
The B-52's,Good Stuff,Tell It Like It T-I-IS (Album Version),1992
Jack Sheldon,Playing For Change,Trane's Strain,0
Small Facers,The Very Best Of CD2,Happiness Stan - Original,0
Embrace the End,Ley Lines,Ley Lines,2008
Dave Hollister,The Definitive Collection,I'm Wrong,2006
Gordon MacRae,Songs From 'By The Light Of The Silvery Moon' and Other Selections,Just One Girl,0
Bersuit Vergarabat,Libertinaje,De Onda,1998
Maire Brennan,Perfect Time,Song Of David (LP Version),0
Babbie Mason,No Better Place,Pray On,0
Major Lance,The Very Best of Sixties Soul,Um_ Um_ Um_ Um_ Um_ Um (Curious Mind),0
Mirah,Voices from the Siren Nation Vol. 2 - Live at the Wonder Ballroom,Apples in the Trees (Live),0
David Tao,Zero To Hero,Summer Love Triangle,2009
Tantric,Mind Control,Coming Undone,2009
Doyle Bramhall,Fitchburg Street,That's How Strong My Love Is,0
The Refreshments,Trouble Boys,Here we are,0
Deckard,The Now Factor,Deckard,0
Organ Donors,Tranceplant,Tranceplant,0
Whitesnake,Trouble,Don't Mess With Me (2006 Digital Remaster),1978
Bedwetters,Meet the F@cking Bedwetters,Like A Deck Of Cards,0
Hank Locklin,I Always Lose,(Sittin') Alone At A Table For Two,0
Fall Out Boy,Infinity On High,The Carpal Tunnel Of Love,2007
Dee Clark,Rain Drops,Just Keep It Up,1990
Michelle Tumes,Streams,Hold On (LP Version),0
Charlie Byrd / Laurindo Almeida,Brazilian Soul,Choro II,0
Korn,Crossing All Over Vol. 12,Make Me Bad,1999
The Skabs,Content,Woe is Woman,0
Tom Cochrane,Hang On To Your Resistance (The Early Years),Revelations:  Visions In A Dream,0
Tum Tum,The Return Of O-Tumma,Money In Da Bank [Screwed],0
Kassav',Se Nou Manm (Live Au Zenith),An Mouvman,2009
Mercedes Castro,Mercedes Castro Acompañada con Mariachi Y Banda - En vivo,Vendiste Los Gueyes -Maldita Miseria-,0
BeauSoleil,Cajun Conja,'Ti Monde (LP Version),1991
Clarisse Lavanant,Vers l'imaginaire,Beaux parleurs,0
Knack,Normal as the Next Guy,Seven Days Of Heaven,0
Redman / Hurricane G / Melanie Rutherford,Red Gone Wild,Soopman Luva 6 1/2,0
Cristy Lane,Footprints In The Sand,Making Up For Lost Time (Footprints In The Sand Album Version),0
Olivier Messiaen,Messiaen Oeuvres Orgue,Livre D'orgue (1951) : VII Soixante-Quatre Durées (Remasterisé En 2008),0
Kingston Trio,The Greatest Stars Of Folk Music,Tom Dooley,0
From Autumn To Ashes,Holding A Wolf By The Ears,Sensory Deprivation Adventure,2007
Humble Pie,30 Days In The Hole (Live & Dangerous),30 Days In The Hole (Live),0
The Jackson Southernaires,Hear Our Prayers O Lord,Lord We Give You All The Praise,0
Barrio Obrero,Gaitas Platinum,Un Ojo Dimos,0
Patton Oswalt,Feelin' Kinda Patton,A Brief History of Shitty Comedy,2004
Supertalented,LOAF Presents: Domestic POP,Fax Me,0
Casiotone For The Painfully Alone,The First Two Albums,Dying Batteries,2001
Herbert Von Karajan,Violin Concerto_ Op.77 Etc.,Variations Sur Un Theme De Haydn Op51,0
Bézu,Maxi ambiance 50 titres,Le chacha des gorilles,0
The Dee Jays,The Dee Jays / Baby Talk - Best of,Dum Dum (Marble Breaks And Iron Bends),0
Brian Tyler,Dragonball Evolution,I Dream Of Chi Chi,2009
Philip Glass,Philip Glass: Undertow,The Kiss: Chris & The Model Airplane,0
Orquesta Aragon,Homenaje,Eso No Tiene Remedio,0
James Taylor,New Moon Shine,One More Go Round,0
45 Grave,Sleep In Safety,Surf Bat (Album Version),1983
Edu Lobo,Meia-Noite,Canto Triste,1967
Nestor Torres,Dances_ Prayers_ & Meditations For Peace,Rhumboso,0
Roommate,We Were Enchanted,Isn't Radio,0
Gang Starr,Step In The Arena,Say Your Prayers,1991
Brian Eno And David Byrne,New Romantics,The Jezebel Spirit,1981
Janice Robinson,Dreamer 'Remixed',Dreamer (Jamie J Sanchez Club Mix),0
Edmond Leung,Edmond Leung Collections,Ling Shi Shi Ji Fen,0
Pumpkin Buzzard,Perfect Dragon,Gumby Killed the Dinosaur (House Mix),0
Wolfmother,White Feather,White Feather,2009
Stephan Micus,Twilight Fields,Part 1 (19 Flowerpots_ 2 Hammered Dulcimers_ Bavarian Zither_ Shakuhachi),1988
Sister Hazel,This Kind Of Love,This Kind Of Love (Full Band),0
Herbert Von Karajan,Karajan & L'Opera,Si Mi Chiamano Mimila Boheme Act1 Remast,0
Gabriel Yared,Sylvia,Devon,2003
Andrew W.K.,Close Calls With Brick Walls / Mother of Mankind,Don't Call Me Andy,2006
Onyx,The History Of House Parties_ vol. 3,The Force,0
Wednesday 13's Frankenstein Drag Queens From Planet 13,Viva Las Violence,Bark At The Moon (Album Version),0
The Aftermath,Degenerate Fuck Crew,Might As Well Laugh,0
Every Time I Die,Last Night In Town,California_ Gracefully,2001
The Sun Harbor's Chorus-Documentary Recordings,America's bugle calls,Taps,0
Methods Of Mayhem / Scott Kirkland,Methods Of Mayhem,Narcotic,1999
Lisa Lynne,Maiden's Prayer,Still I Will,2001
Ed Byrne,Ed Byrne - Pedantic and Whimsical,Who's Your Daddy?,0
Bryan Ferry,These Foolish Things,Don't Worry Baby (1999 Digital Remaster),1973
Burning Spear,Dry & Heavy,It's A Long Way Around,1977
Coldplay,In My Place,One I Love,2002
ZO2,Ain't It Beautiful,Isolate,2007
Sasha,Turn It Into Something Special,Turn It Into Something Special (Svengali's remix für Elisa),0
Tony Danza Tap Dance Extravaganza_ The,The Tony Danza Tap Dance Extravaganza,Cliff Burton Surprise,0
Hurricane,Over The Edge,I'm On To You,1988
Fred Locks,Never Give Up,Mama Don't Know Love,0
BLEED THE SKY,Murder The Dance,Kettle Black,2008
Maysa,Maysa,Ouça,2008
Mr. Sancho,Foreplay,I'm callin,0
Dolores Keane,Celtic Woman 3,Storm In My Heart,1993
Lauren Wagner & Fred Weldy,American Song Recital: Works of Bernstein_ Hundley_ Bowles...,Social Note,0
Ragheb Alama,Ya Hayati,Al'amadalah Assa'bah (2004 Digital Remaster),0
Adolph Hofner,South Texas Swing,How I Miss You Tonight,0
Lee Michaels,Live,My Lady,0
Charlie McCoy,Harpin´ The Blues,Night Life,1991
Cockney Rejects,Unforgiven,Big Time Charlie,2007
D.O.W.N.,Southern Slang (Chopped & Screwed),Hustlin',0
Wayne Watson,Living Room,Somebody Sing,0
SOL,Sol,Puedes ser feliz,0
Suicide,Decade of Suicide/10 years after beginning,Shadows of the thought,0
Mötley Crüe,Music To Crash Your Car To,Wild Side,1987
Philip Bailey,Soul On Jazz,Sometime Ago,0
Alex Gopher,Aurora_ Vol.2 - EP,Aurora (Rory's Cassette Jam Remix),0
Teena Marie,Ivory,How Can You Resist It,1990
Yamandu + Dominguinhos,Yamandu + Dominguinhos,Chorando Baixinho,0
Mr. Lif,Mo' Mega,For You,2006
Arsonists Get All The Girls,Portals,Violence in Fluid Triceratops,2009
Shirley Caesar,He's Working It Out For You,Healed (LP Version),0
Jerry Butler,Spotlight On Jerry Butler,He Will Break Your Heart,1960
Pearl Jam,Lost Dogs,4/20/02,0
Petra,Petraphonics,Don't Let Your Heart Be Hardened (This Means War Album Version),0
Mobb Deep,The Infamous,Up North Trip,1995
Irma Thomas,I Believe To My Soul,The Same Love That Made Me Laugh  [LP Version],0
Jim Chappell,In Search Of The Magic,Almost Us,1997
Cherrelle,The Right Time,Into My Eyes,1999
The Paul Butterfield Blues Band,Sometimes I Just Feel Like Smilin',Pretty Woman (LP Version),1971
Felix Slatkin/Concert Arts Symphonic Band,The Military Band - Salute to the Services,El Capitan (1998 Digital Remaster),0
The American Boychoir,Lullaby - Music for the Quiet Times,Intermezzo,0
Patrick Saint-Eloi,Zoukolexion_ vol. 1,Ola ou yé,0
RUN-DMC,Original Album Classics,Faces,1990
Hot Wire,Tribute,Like A Prayer (Tribute To Madonna),0
Sister Hazel,...Somewhere More Familiar,Cerilene,1997
Evergreen Terrace,Losing All Hope Is Freedom,Look Up At The Stars And You're Gone,2001
Solomon,Solomon Vol. 2,25 Variations And Fugue On A Theme By G.F. Handel For Piano_ Op. 24: Fugue,0
Danilo Perez / Claus Ogerman,Across The Crystal Sea,The Saga Of Rita Joe,2008
Avril Lavigne,Under My Skin,How Does It Feel,2004
James Ingram,Always You,A Baby's Born,1993
Sasha,We Can Leave The World,Do It To Me,0
Johnny Cash,The Original Johnny Cash Volume 1,You Tell Me,1959
Billy Bragg,I Keep Faith,Goodbye (Solo Version),2008
André Blot,Le tour de France de l'accordéon,Breiz Ma bro,0
Little Milton,Guitar Man,My Way,0
Juan Carlos Baglietto,Actuar Para Vivir,Tiempos Dificiles,1982
Crabby Appleton,Rhino Hi-Five: Crabby Appleton,Go Back,1970
Junior Jack,Defected Accapellas Volume 4,E Samba (Accapella),0
Jean-Yves Thibaudet / Gewandhausorchester Leipzig / Herbert Blomstedt,Mendelssohn: Piano Concertos Nos.1 & 2 etc,1. Molto allegro con fuoco,0
Remi Nicole,Rock N Roll - Remix EP,Rock N Roll,0
Dave Rave_ Mark McCarron,In the Blue of My Dreams,They Held Hands,0
All Leather,Hung Like A Horse EP,As The Hog Pisseth,0
Bob Margolin,In North Carolina,Baby_ Baby_ Baby,0
Marisela,Exitos Con Banda,Loca (a/k/a Crazy) (Version Banda),0
Autonomous Bass Heads,Get Ready Bass,Beat Conductor,0
The Oh Sees,Thee Oh Sees Sucks Blood,It Killed Mom,0
Dinosaur Jr.,Been There All The Time,Been There All The Time,2007
Cowboy Mouth,Uh-Oh,Disconnected,0
Mark Lowry,Some Things Never Change,Jesus Laughing (Some Things Never Change Version),0
Wilshire,New Universe,When,2003
Lil Boosie,Bad Azz,I Remember (amended album version),2006
Lionel Rogg,J. S. Bach: The Art of Fugue & 'Vivaldi' Solo Organ Concertos,Die Kunst der Fuge_ BWV 1080 (2007 Digital Remaster): Contrapunctus XVII - Inversus,0
Candlebox,Into The Sun [Amended],Lover Come Back To Me,0
Kitty Kallen,Our Lady... Kitty Kallen,If You Smile At The Sun,0
Krystof,Rubikon,Ostravaczech,2006
Petra,The Rock Block,Angel Of Light (Never Say Die Album Version),0
Tum Tum,The Return Of O-Tumma,So Fresh,0
Moraes Moreira,Bahião Com H,Banho De Amor,1991
Dwight Twilley,The Beatles,Tomorrow Never Knows,0
Darko,This Is What The Universe Sounds Like,Danote,0
Jeff Talmadge,The Spinning of the World,The Hard Part's Letting Go,0
Yuridia,Habla El Corazon,Regresa A Mi (Unbreak My Heart),0
Mägo de Oz,Bajo La Corteza (26 Canciones De Leño),Qué Desilusión,2010
Stern,Stern,Tüflische Plan,0
Johnny Osbourne,Nightfall Showcase,Come ALong,0
Plasmatics,New Hope For The Wretched,Dream Lover,1980
Inspiral Carpets,Devil Hopping,Party In The Sky,1994
Furry Lewis,Furry Lewis 1927 - 1929,I Will Turn Your Money Green (Tk. 1),0
Alberto Cortez,Colección Diamante: Alberto Cortez,Guitarra Dimelo Tu,0
Bryan White,Dreaming Of Christmas,I Can't Wait 'Til Christmas (LP Version),1999
Kurt Tepperwein,Kaufen lassen - Beziehungs-Management,Subliminal mit Naturgeraeuschen,0
Dirty Harry,Henry Street Music Volume 11,The Fortway,0
M.I.K.E.,The Perfect Blend,Hollow Dream,2006
The Gone Jackals,Blue Pyramid,That Blows My Mind (Slammin' and Way Out There!),1998
Blackalicious,Nia,Ego Trip by Nikki Giovanni,1999
Alice In Chains,Jar of flies / Facelift / Dirt,I Know Somethin (Bout You),1990
Bounty Killer,Nah No Mercy - The Warlord Scrolls,Gun Thirsty,2001
Les Hou-Lops,Collection de chansons rares des groupes des années 60 Volume 1,Hold me,0
Wonderland,On The Barricades,You,0
The Shirelles,Where Or When,Dedicated To The One I Love,1960
Burning Spear,Soul Kitchen (The Original Motion Picture Soundtrack),Walking In Dub,2009
Camp Lo,Another Heist,Uptown,2009
Bill & Gloria Gaither,The Best Of Homecoming - Volume One,Jesus Hold My Hand (The Best of Homecoming - Volume 1 Version),0
Gyptian,System's Riddim,Lonely,0
Patrick Lamb,Soul of a Free Man,I Remember,2007
Stan,Everything,Luv,0
Asleep At The Wheel,Texas Gold/Comin' Right At Ya,Let Me Go Home Whiskey,0
Flor Silvestre,Flor Silvestre,Gaviota Traidora,0
Melvins,Pick Your Battles,You've Never Been Right - (Live In Boston_ MA 2008),2009
Fever Ray,When I Grow Up,When I Grow Up,2009
L.A. Guns,Cocked & Re-Loaded (Millenium Edition),Magdalaine,1989
Amoral,Wound Creations,The Last Round,2004
Gipsy Kings,Somos Gitanos,Somos Gitanos,2001
Toots & The Maytals,From Bam Bam To Cherry Oh! Baby,Sweet & Dandy,1984
Los Brujos,San Cipriano,Si Yo Tuviera,0
Die Symphony,Online Exclusive: Demos & Rarities,Ugly Like Me (Demo Version),0
Slipknot,9.0 Live,The Heretic Anthem (Live version) (Album Version),0
Charlie Peacock,West Coast Diaries Vol.1-cass.,Hot Night Downtown,1988
Paul Geremia,Screamin' and Hollerin' The Blues,Tootie Blues,2004
Jimmy Wyble,Goodbye My Heart - Country,No More Blues,2005
Varios,Joaquim Homs - Música de Cambra,II Allegro,0
Atom,Ikebana : Merzbow's Amlux Rebuilt_ Reused and Recycled,Merzwaltz,0
S.U.P,The Holy Bible 1992-2002,Insanity,0
Janis Joplin,Janis,Piece Of My Heart,1972
Butthole Surfers,Butthole Surfers  + PCPpep,Wichita Cathedral [live],0
Vivian,Nordic Hotel,Better,0
Monique Marvez,The Reality Chick,No Bad Oral Sex / Dick Dessert,0
Zombina & The Skeletons,Paid In Black Vol.2,Sea Of Heartbreak,0
Gabriel Yared,Azur et Asmar,Les chasseurs d'esclaves,2006
Blind Lemon Jefferson,Southern Blues Volume 2,Gone Dead On You Blues,1972
Andy Griffith,Love To Tell Story-25 Hymns,The Old Rugged Cross (Medley)  (Love To Tell The Story Album Version),0
Dan Shen_ Gruppo Vocale Cantemus_ Ensemble Airone_ Luigi Marzola,Musica Sacra Nella Napoli del '700,Miserere: XII. Ne Projicias,0
Sean Kingston,Face Drop,Face Drop,2009
Walter Trout,Positively Beale Street,Obstacles in My Way,1997
Blind Boy Fuller,Goin' Mad Blues Vol. 6,Got To Find My Little Woman,2005
The Jane Shermans,Popular Music Social Condition,Ammunition,2008
Sergio Dalma,Cuerpo A Cuerpo,La Marca De Tus Labios,1995
Mei Chi Chiang,Lover's Poem,Chagall(OS),0
Dancecore Allstars,When The Sun Comes Out,When The Sun Comes Out,0
Bon Jovi,Whole Lot Of Leavin',I Love This Town,2007
Count Ossie,Tales Of Mozambique,No Night In Zion - Original,1994
Bloomfield,En Vogue ( Bonus Version),Quartier Latin,0
"Dave ""Baby"" Cortez",Fill It! - I Love the Fifties,The Happy Organ,1976
Trivium,Shogun,Shogun [with fade_ for special edition],2008
Terry Callier,I Just Can't Help Myself,Satin Doll,2007
Andrew W.K.,Close Calls With Brick Walls / Mother of Mankind,Can You Dance With Me?,2006
The Chieftains,Further Down The Old Plank Road,The Raggle Taggle Gypsy,2003
Bescenta,Genuine,So In Love,0
Tommy James And The Shondells,Anthology,Out Of The Blue,1989
Rakim,The 18th Letter,Outro,1997
John Debney,Elf,Buddy and Santa's Flight,2003
Coraleena Ellis,Let Me Be Free,Wide Awake In A Dream,0
Kapelle Herrenweide,Kavalierstart,Humppa,2009
Elmer Bernstein,My Left Foot,Drown The Dog!,0
Charlie Peacock,Last Vestiges of Honor,The Quality of Life,0
Casiotone For The Painfully Alone,Town Topic EP,Town Topic (Instrumental),2008
Jeff Wahl,Guitarscapes,Waterfall,2003
Lionel Rogg,Buxtehude: Organ Works,Choral : Komm_ Heiliger Geist_ BuxWV 199 (Remasterisé En 2010),0
Vusi Mahlasela,Guiding Star (Naledi Ya Tsela),Pata Pata,0
Singing Melody,Reggae Hits Volume 23,Player No More,0
UFO,The Official Bootleg Box Set,Out In The Street (Live In Cleveland_ Ohio),0
Eddie Cantor,The Fabulous Eddie Cantor,Charley_ My Boy,0
Peter Spence,Lovers Lounge Venue 2,Baby I,0
Precious Bryant,Fool Me Good,When The Saints Go Marching In,2002
Marimba Alma De Chiapas De Juan Palacios,Nuestro Mexico,Atotonilco,0
John Stevens,Red,I Only Have Eyes For You (Album Version),2005
Backstreet Boys,This Is Us,PDA,2009
John Debney,End Of Days,Porcelain Man,1999
Marcelo Radulovich,Marcelo Radulovich,Spirit and Machine,0
Sonic Subjunkies,Harder Than The Rest,Turntable Terrorist,1995
Jamie Richards,Sideways,Easier By Now,0
Eddie Turner,The Turner Diaries,Jody,0
Pretty Boy Floyd,Porn Stars,Dept. Of Youth,0
DJ Slugo,Jukin 4 the Haters Vol.2,Where the Rats 3,0
Lizzy Borden,The Murderess Metal Road Show,(Wake Up) Time to Die,1985
Antonio Koudele,"HarpGuitar ""Antonio Koudele Plays Evergreens"" Vol.1",Track TAKE FIVE,0
Chris Rodriguez,Beggar's Paradise,Turn Around (LP Version),0
Hatesex,Unwant,Hatesex (Reborn),0
John Hiatt,Greatest Hits: The A&M Years '87- '94,Memphis In The Meantime,1987
K's Choice,Live,Another Year,2000
Sheila Walsh,FOR A TIME LIKE THIS,Circle Of Hands (For A Time Like This Album Version),0
NAZCA PERU,INKARU,Aurora,0
The Impressions,Soul Legends,Ridin' High,0
